lm_type,text,expanded_text,id_short,connect_families,connect_gardeners,connect_teachers,connect_staff_volunteers,connect_students_chaperones,connect_businesses,connect_media,connect_local_govt,connect_utility_depts,connect_mahany_partners,connect_rate_payers,connect_adults,connect_community_orgs,connect_teens,connect_young_adults
relationship,Utility customers,"Residents and business owners who pay for utilities. These are the owners of UEC, as it is a branch of publicly-owned utilities.",rate_payers,,,,,,,,,,,1,,,,
relationship,Utility Departments,UEC is a branch of publicly-owned utilities: Roseville Electric Utility and Roseville Environmental Utilities.,utility_depts,,,,,,,,,1,,,,,,
relationship,Local government,"UEC seeks to have a positive relationship with city offices. UEC works most often with parks & rec, library, open space department, and alternative transporation. Additionally, it would like to build up relationships with environmental agencies at local, state regional levels.
UEC is located in the Mahany Park Complex, which includes the Martha Riley Library, Sports Center, and Mahany Park. UEC is located within the library building.",local_govt,,,,,,,,1,,,,,,,
relationship,Media,"UEC works with the news media to promote programs and events.
Current programs and events attract ""morning show"" type of attention.
Hope to connect with social media influencers (bloggers, twitter accts, etc)",media,,,,,,,1,,,,,,,,
relationship,Local businesses,"UEC wants to build stronger partnerships with local businesses. Partnerhsips could take the shape of event co-hosts, event vendors, sponsors, or Chamber of Commerce",businesses,,,,,,1,,,,,,,,,
relationship,Students and chaperones,Students coming on field trips with their tk-6 teachers are an important audience. Chaperones on these field trips also build commenctions to UEC and can experience outcomes in learning and attitude change as a result of their experience.,students_chaperones,,,,,1,,,,,,,,,,
relationship,Staff and volunteers,"UEC staff consists of 4 full time staff (museum and interpretive professionals) and 5 part time staff. They are supported by several part-time staff and a volunteer core. Volunteers can either work regularly (min 8 hrs/mo) or work just for special event.
UEC is in a period of growth from a small multi-functional staff team, to a larger more specialized staff group with managers and entry-level staff.
Volunteer corps needs to grow, especially when IDEAscape opens -- will need more presence on the floor",staff_volunteers,,,,1,,,,,,,,,,,
relationship,Teachers and educators,"School groups, tk-6 grade, are an important audience for UEC. Exhibits and programs must meet their needs, inclucing content alignment with California State Science Standards. Currently, school groups are maxing out UEC's capacity.",teachers,,,1,,,,,,,,,,,,
relationship,Gardeners,"Gardeners are a regular, core audience for UEC.",gardeners,,1,,,,,,,,,,,,,
relationship,Families,"Multi-generational families are the main target audience for UEC. Roseville is a family community, with above average rates for home ownership, income, and education.",families,1,,,,,,,,,,,,,,
resource,Exhibit space,Inside and outside (IDEAscape),exhibit_space,1,,1,,1,,,,,,1,1,,,
resource,Workshop space,none,workshop_space,,1,1,,,,,,,,,1,,,
resource,Marketing,"Website (including re-design)
Social media: Twitter, FB
Collateral: printed materials, brochures",marketing,1,1,1,,,,,,,,1,1,,,
activity,Evaluation,none,evaluation,1,1,1,,,,,,,,,1,,,
resource,Business partnerships,Event sponsorship and co-hosting,business_partnership,1,,,,,1,,1,1,,,1,,,
resource,Staff/volunteer support,"Knowledge: content and pedagogy
Educators, instructors
Man power",staff_vol_support,1,1,1,,,1,1,1,1,1,,1,1,,
resource,"Utility funding, sponsorships, donations, grant funding",none,sponsorships_donations_grants,,,1,,,,,,,,,,1,,
resource,Plug-in vehicle,"Wrap advertising
Out in communities
Marketing -- get people to come to UEC",plug_in,1,1,1,,,,,,,,1,1,,,
activitiy,Press releases and media alerts,none,press_release,,,,,,,1,,,,,,,,
activity,Visit exhibition (self-directed),none,visit_exhibit,1,,,,,,,,,,,1,,,
activity,Planet Protectors,"TK-6
State curriculum aligned
Zero-waste lunch dump
Topics covering: Energy efficiency, waste reduction, watershed protection",planet_protectors,,,1,,1,,,,,,,,,,
activity,Comic books,none,comic_books,,,,,1,,,,,,,,,,
activity,Pre- and post-tour materials,none,pre_post_materials,,,,,1,,,,,,,1,,,
activity,Gardening workshops and events,"Gardening workshops (modest fee)
Green Gardening at Home Series",gardening_workshops,,1,,,,,,,,,,,,,
activity,Family programs,"Free Prek program (monthly, 2 hrs, mornings, dropin)
Family events (summer, Big Trucks Summer, free)
Summer camps
Family drop-in events (Waste-a-Palooza, Count Watts' Spooktacular, Bird and Bug Bonanza, Get Energized, free)",family_programs,1,,,,,,,,,,,,,,
activity,Staff/volunteer development,"Customer service training
Specialized training (topical, content-based)",staff_vol_development,,,,1,,,,,,,,,,,
activity,School outreach (future),none,school_outreach,,,1,,,,,,,,,,,,
activity,Staff/volunteer recruiting,none,staff_vol_recruiting,,,,1,,,,,,,,,,,
activity,Staff/volunteer onboarding,"orientation
tours of utility facilities
""mind-meld"" with the current staff/volunteers
uniforms and identification",staff_onboarding,,,,1,,,,,,,,,,,
activity,Staff/volunteer appreciation and support,none,staff_vol_appreciation,,,,1,,,,,,,,,,,
activity,Networking and relationship building,Proactive in forging relationships,networking,,,,,,1,1,1,1,,,,1,,
